Week,Day,Date,Type,Link text,URL
1,2,7-Jun,Video,Git,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=7f332c5e-6ad8-4ff8-a702-ae23002793cf
1,2,7-Jun,Video,Submission workflow,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=4c4f67dd-677c-40d9-8bbc-ae230027ac60
1,2,7-Jun,Slides,Editors (emacs),slides/day03_editors.pdf
1,2,7-Jun,Slides,Git,slides/day03_git.pdf
1,2,7-Jun,Slides,Submission workflow,slides/day03_submission_workflow.pdf
1,2,7-Jun,Recap,Day 3,questions/day03.html
1,2,7-Jun,Exercise,Exercise 3-A,exercise/ex03a.html
1,2,7-Jun,Exercise,Exercise 3-B,exercise/ex03b.html
1,2,7-Jun,Resource,Emacs reference card,https://www.gnu.org/software/emacs/refcards/pdf/refcard.pdf
1,2,7-Jun,Resource,Interactive Vim tutorial,https://www.openvim.com/
1,2,7-Jun,Resource,Vim lecture video,https://missing.csail.mit.edu/2020/editors/ 
1,2,7-Jun,Resource,Git cheatsheet,https://github.github.com/training-kit/downloads/github-git-cheat-sheet.pdf
1,2,7-Jun,Video,"Logical operators, control flow",https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=45b14d44-3d4e-4fd7-b0c0-ae230027aef2
1,2,7-Jun,Slides,"Logical operators, control flow",slides/day04_control_flow.pdf
1,2,7-Jun,Recap,Day 4,questions/day04.html
1,2,7-Jun,Exercise,Exercise 4,exercise/ex04.html
1,2,7-Jun,Recording,day2-lecture,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=90005b45-1763-4e48-bf94-b01a01195bf3
1,2,7-Jun,LectureSlides,Day 02 Notes,slides/summer23_slides/summer23_day03-04.pdf

1,3,9-Jun,Video,"Arrays, ASCII",https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=58f4d402-fd0d-4868-b805-ae230027ab93
1,3,9-Jun,Video,C strings,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=06a4f1da-f6a1-4212-b686-ae230027ab33
1,3,9-Jun,Slides,Arrays,slides/day05_arrays.pdf
1,3,9-Jun,Slides,C strings,slides/day05_c_strings.pdf
1,3,9-Jun,Recap,Day 5,questions/day05.html
1,3,9-Jun,Exercise,Exercise 5,exercise/ex05.html
1,3,9-Jun,Video,"File I/O, assert, math functions",https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=ae149930-15ce-460c-a2df-ae230027aac0
1,3,9-Jun,Video,"Writing functions, command line arguments",https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=1de2958b-f8b8-4fae-ac47-ae230027aa77
